"gene"	"drug.status"	"Synonym"	"Payload"	"drugs"	"Indications"
"CA9"	"Approved by FDA"	"CAIX"	"HIF2A inhibitor"	"Belzutifan"	"Renal cell carcinoma"
"DLL3"	"Approved by FDA"	""	"T-cell engager CD3"	"Tarlatamab"	"SCLC"
"ERBB2"	"Approved by FDA"	"HER2;HER2"	"Emtansine (tubulin);Deruxtecan (TOP1)"	"Kadcyla (Trastuzumab emtansine) (T-DM1);Enhertu (Trastuzumab deruxtecan)"	"HER2-positive metastatic breast cancer;HER2-positive metastatic breast cancer, HER2-positive metastatic gastric cancer; Advanced HER-2-positive cancers"
"F3"	"Approved by FDA"	"Thromboplastin/Tissue Factor"	"Vedotin (tubulin)"	"Tivdak (Tisotumab vedotin)"	"Metastatic cervical cancer"
"FOLR1"	"Approved by FDA"	"Folate Receptor alpha"	"DM4 (tubulin)"	"Elahere (Mirvetuximab soravtansine) (MORAb-202)"	"Ovarian cancer"
"NECTIN4"	"Approved by FDA"	""	"Vedotin (tubulin)"	"Padcev (Enfortumab vedotin)"	"Urothelial cancer"
"TACSTD2"	"Approved by FDA"	"TROP-2;TROP-2"	"SN-38 (TOP1);Deruxtecan (TOP1)"	"Trodelvy (Sacituzumab govitecan-hziy);Datopotamab deruxtecan"	"Metastatic triple-negative breast cancer, metastatic urothelial cancer;HR+, HER2-negative breast cancer"
"EGFR"	"Approved outside US"	""	"IR700"	"Akalux (Cetuximab Sarotalocan)"	"Locally advanced or locally recurrent head and neck cancer"
"ERBB2"	"Approved outside US"	"HER2"	"MMAE (tubulin)"	"Aidexi (Disitamab vedotin)"	"Advanced or metastatic gastric cancer"
"AXL"	"Clinical trial"	""	"PBD dimer (DNA)"	"Mipasetamab Uzoptirine (ADCT-601)"	"Advanced refractory solid tumors"
"CD274"	"Clinical trial"	"PDL1"	"TOP1 inhibitor"	"HLX43"	"Advanced refractory solid tumors"
"CD276"	"Clinical trial"	"B7-H3;B7H3;B7H3;B7H3;B7H3;B7H3;B7H3;B7-H3"	"TOP1 inhibitor;Exatecan (TOP1);TOP1 inhibitor;Duocarmycin (DNA);Deruxtecan (TOP1);?;TOP1 inhibitor;Deruxtecan (TOP1)"	"YL201;BAT8009;7MW3711;Vobramitamab duocarmazine (MGC018);DS-7300a;HS-20089;HS-20093;Ifinatamab-Dxd (Daichi Sankyo and Merck)"	"Relapsed or refractory (R/R) B7-H3-positive AML;Advanced refractory solid tumors;Advanced refractory solid tumors;Metastatic prostate cancer and advanced cancers;Advanced refractory solid tumors;Advanced refractory solid tumors;Advanced refractory solid tumors;SCLC Advanced refractory solid tumors"
"CD44"	"Clinical trial"	"HUTCH-1"	"Belotecan (KL610023 - Sichuan Kelun-Biotech)"	"AMT-116"	"Advanced refractory solid tumors"
"CD46"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"FOR46"	"Castration-resistant prostate cancer (mCRPC)"
"CDH17"	"Clinical trial"	""	"?"	"TORL-3-600"	"Advanced colorectal cancers"
"CDH6"	"Clinical trial"	""	"Exatecan (TOP1)"	"CUSP06"	"Platinum-resistant ovarian cancers and other advanced solid tumors"
"CEACAM5"	"Clinical trial"	""	"TOP1 inhibitor;Ravtansine (DM4) (tubulin);TOP1 inhibitor;SN38 (TOP1)"	"M9140 (EMD Serono);Tusamitamab ravtansine (Sanofi);PF-08046050 (SGN-CEACAM5C) ;Labetuzumab Govitecan (IMMU-130)"	"Advanced refractory solid tumors;Advanced refractory solid tumors;Metastatic colon cancer, gastric and NSCLC;Metastatic colon cancer"
"CEACAM6"	"Clinical trial"	"CD66c;CD66c"	"SN38 (TOP1);None"	"EBC-129;BAY1834942"	"Advanced refractory solid tumors;Reactivation of T-cells"
"CLDN18"	"Clinical trial"	"CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.3;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2;CLAUDIN18.2"	"?;Monomethyl auristatin E (MMAE) (tubulin);TOP1 inhibitor;Monomethyl auristatin E (MMAE) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);MMAE (tubulin);MMAE (tubulin);Exatecan (TOP1);Paload not displayed. Dual TROP2-CLDN18"	"TQB2103;EO-3021;SKB315;RC118;TORL-2-307-ADC;CMG901;LM-302 (TST001, LM-302);IBI343;BSI-725"	"Advanced refractory solid tumors: Gastric and pancreatic;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2;Solid tumors expressing CLDN18.2;;;Pancreatic cancer;"
"CLDN6"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"TORL-1-23"	"Advanced refractory solid tumors"
"DLK1"	"Clinical trial"	""	"PBD (DNA);No Payload: Monospecific antibody"	"ADCT-701;CBA-1205"	"ACC;Advanced cancers including HCC"
"DLL3"	"Clinical trial"	""	"TOP1 (10-11-MDO-7-propyl-CPT derivative = C24;DAR8)"	"ZL-1310"	"SCLC"
"EGFR"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin);Deruxtecan (TOP1);Eribulin (tubulin)"	"MRG003;AZD9592;BB-1705"	"EGFR-positive metastatic or advanced solid tumors;EGFR-positive metastatic or advanced solid tumors;Advanced refractory solid tumors"
"ERBB2"	"Clinical trial"	"HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2;HER2"	"Duocarmycin (DNA);?;Emtansine (tubulin);Monomethyl auristatin E (MMAE) (tubulin);TOP1 inhibitor;?;?;DM1 (Entactin = Myantansine derivative) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);?;? (degrader)d;Exatecan derivative (TOP1) (SHR 169265)"	"Trastuzumab Duocarmazine (SYD985);CPO-301;IKS014;RC48-ADC;TQB2103;GQ1007;BDC-1001;GQ1001;MRG002;DF1001;ORM-5029;Trastuzumab rezetecan (SHR-A1811;
Jiangsu Hengrui Pharmaceuticals, Suzhou, China)"	"HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers;HER2-positive breast cancer;HER2-positive cancers;HER2-positive cancers;HER2-positive cancers"
"ERBB3"	"Clinical trial"	"HER3"	"Deruxtecan (TOP1)"	"Patritumab deruxtecan (U3-1402)"	"HER3-positive cancers - NSCLC and breast cancer"
"F3"	"Clinical trial"	"TF, Coagulation Factor 3;TF, Coagulation Factor 3"	"Monomethyl auristatin E (MMAE) (tubulin);?"	"XB002;MRG004A (DAR4)"	"Advanced refractory solid tumors;Advanced refractory solid tumors"
"FAP"	"Clinical trial"	"MTX5?"	"Tubulysin (tubulin)"	"OMTX705"	"Advanced refractory solid tumors"
"FN1"	"Clinical trial"	""	"Auristatin 0101"	"PYX-201"	"Advanced refractory solid tumors"
"FOLH1"	"Clinical trial"	"PSMA;PSMA"	"Microtubule inhibitor;STING agonist"	"ARX517-PSMA-ADC;E7766"	"PSMA expressing tumors;"
"FOLR1"	"Clinical trial"	"Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha;Folate Receptor alpha"	"DUO-5 (tubulin);3-aminophenyl hemiasterlin (SC209);Eribulin (tubulin);DM4 (Maytansinoid derivative) (tubulin);DM21 (Maytansinoid derivative) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);Deruxtecan (TOP1);Monomethyl auristatin E (MMAE) (tubulin);Exatecan (TOP1)"	"AMT-151;Luveltamab tazevibulin (STRO-002);Farletuzumab Ecteribulin (MORAb-202);Mirvetuximab soravtansine (IMGN853);IMGN151-1001;CBP-1008;AZD5335;CBP-1018;PRO1184"	"Ovarian cancer;Ovarian and endomietrial cancers;Ovarian , endomietrial and NSCL cancers;;Recurrent endometrial cancer, recurrent, high-grade serous epithelial ovarian, primary peritoneal, or fallopian tube cancers;Advanced refractory solid tumors;Ovarian cancer;Advanced refractory solid tumors;"
"GPNMB"	"Clinical trial"	""	"Vedotin (tubulin)"	"Glembatumumab vedotin"	"Metastatic melanoma, triple-negative breast cancer"
"GUCY2C"	"Clinical trial"	"Guanylate cyclase 2C"	"Vedotin (tubulin)"	"Indusatumab vedotin (TAK-264)"	"Pancreatic adenocarcinoma, gastric adenocarcinoma"
"LY75"	"Clinical trial"	"CD205"	"DM4 (tubulin)"	"OBT076"	"Tumor expressing high CD205"
"MET"	"Clinical trial"	""	"M24 (Myantansine derivative) (tubulin);;TOP1 inhibitor"	"REGN5093-M114;RC108-ADC;ABBV-400"	"MET overexpressing advanced cancers (NSCLC);MET overexpressing advanced cancers (NSCLC);Advanced refractory solid tumors"
"MSLN"	"Clinical trial"	"Mesothelin"	"Ravtansine (DM4) (tubulin)"	"Anetumab ravtansine"	"Various solid tumors including mesothelioma, pancreatic cancer and ovarian cancer"
"MUC1"	"Clinical trial"	"Mucin 1"	"Deruxtecan (TOP1)"	"DS-3939"	"Advanced refractory solid tumors"
"NCAM1"	"Clinical trial"	"CD56"	"DM1 (Myantansine derivative) (tubulin)"	"IMGN901"	"CD56-expressing tumors (SCLC, MCC (Merkel cell carcinoma), ovarian)"
"NECTIN4"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin);Monomethyl auristatin E (MMAE) (tubulin);?;AP052 (tubulin);TOP1 inhibitor"	"9MW2821;CRB-701;LY4101174;ADRX-0706;BAT8007"	"Urothelial cancer and advanced Malignant solid tumors;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4;Advanced refractory solid tumors expressing nectin-4"
"ROR1"	"Clinical trial"	"Tyrosine Kinase Orphan"	"PBD (DNA)"	"CS5001"	"Advanced refractory solid tumors"
"ROR2"	"Clinical trial"	"Tyrosine Kinase Orphan"	"Vedotin (tubulin)"	"Ozuriftamab vedotin (CAB-ROR2-ADC)"	"Advanced refractory solid tumors"
"SDC1"	"Clinical trial"	"CD138 (syndecan);CD138 (syndecan)"	"CAR T;Ravtansine"	"Anti-SDC1 CAR-T;Indatuximab Ravtansine (BT062)"	"Multiple Myeloma and other tumors;Multiple Myeloma and other tumors"
"SEZ6"	"Clinical trial"	""	"Calicheamcin;TOP1? (undisclosed)"	"ABBV-011;ABBV-706"	"Relapsed or refractory (R/R) SCLC;Relapsed or refractory (R/R) SCLC"
"TACSTD2"	"Clinical trial"	"TROP-2;TROP-2"	"Deruxtecan (TOP1);T030 (TOP1)"	"Datopotamab deruxtecan;Sacitizumab tirumotecan"	"TROP-2 overexpressing tumors;"
"TM4SF1"	"Clinical trial"	"Endothelial"	"Maytansin (Tubulin)"	"AGX101 (Angiex)"	""
"VTCN1"	"Clinical trial"	"B7H4;B7H4"	"Microtubule inhibitor;Deruxtecan (TOP1)"	"XMT-1660;AZD8205"	"Breast, ovarian and endometrial cancers;Various preclinical cancer models"
"ANTXR1"	"Preclinical"	"TEM8"	"Vedotin (tubulin)"	"CR011-vcMMAE (Glembatumumab vedotin)"	""
"CD38"	"Preclinical"	"CADPR1"	"Lenalidomide"	"TE-1146 (Dartumab lenalidomide)"	"Preclinical"
"CEACAM5"	"Preclinical"	""	"Degrader"	"PRP0004 - Tusamitamab SMARCA2/4 (Prelude)"	""
"CEACAM6"	"Preclinical"	"CD66c"	"EBET (protein degrader)"	"84-EBET"	"Preclinical"
"DLK1"	"Preclinical"	""	"MMAE (tubulin)"	"TORL-4-500"	"HCC, SCLC, Sarcoma"
"DLL3"	"Preclinical"	""	"TOP1 inhibitor (P1021)"	"DB-1314"	"SCLC"
"EGFR"	"Preclinical"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"Cetuximab MMAE (AGCM-22)"	"Preclinical Glioblastoma"
"ERBB3"	"Preclinical"	"HER3"	"P1003 (P1021?) (TOP1)"	"DB-1310"	"HER3-positive cancers - NSCLC and breast cancer"
"F3"	"Preclinical"	"Tissue Factor"	"Exatecan (TOP1)"	"STRO-004"	""
"FOLR1"	"Preclinical"	"Folate Receptor alpha"	"TOP1 inhibitor"	"BAT8006"	"Advanced refractory solid tumors"
"GPC1"	"Preclinical"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"GPC1-ADC"	"Glioblastoma"
"GPC3"	"Preclinical"	""	"SN-38 (TOP1);Monomethyl auristatin E (MMAE) (tubulin);Duocarmycin (DNA)"	"Codrituzumab-MC-Vc-PAB-SN38 ADC;Codrituzumab-MC-Vc-PAB-MMAE ADC;Codrituzumab-MC-Vc-PAB-Duocarmycin ADC"	"Hepatocellular carcinomas (HCC);Hepatocellular carcinomas (HCC);Hepatocellular carcinomas (HCC)"
"ICAM1"	"Preclinical"	"CD54"	"Deruxtecan (TOP1)"	"I1-Dxd"	"Metastatic melanoma, triple-negative breast cancer"
"ITGB6"	"Preclinical"	"Integrin"	"Exatecan (TOP1)"	"STRO-006"	""
"NCAM1"	"Preclinical"	"CD56"	"Monomethyl auristatin E (MMAE) (tubulin)"	"Adcitmer"	"MCC (Merkel cell carcinoma)"
"SEMA7A"	"Preclinical"	""	"Auristatin  E/DM1"	"5E3-vedotin"	"Relapsed or refractory multiple myeloma"
"SLC34A2"	"Preclinical"	""	"Auristatin F hydroxypropylamide (AF-HPA)"	"Upifitamab Rilsodotin"	"NSCLC"
"TACSTD2"	"Preclinical"	"TROP-2;TROP-2"	"Exatecan (TOP1);Amanitin"	"OBI-992;hRS7 (Heidelberg Pharma)"	";TNBC; pancreatic"
